source	person:name	person:org	person:role	person:title	person:rank
002fcbe4-503c-400d-8cc0-77a395570ade	Lamidi Adeosun	7 Division	Commander	General Officer Commanding	Major General
01a93cea-4492-4554-a59c-aaad75daa2d7	Adamu T. Ibrahim	82 Division	Commander	General Officer Commanding	Major General
047b7dbf-b4e6-4848-b868-0ad63d226aa4	Hassan Thlama	Buni Yadi Police Division	Commander	Divisional Police Officer	Superintendent of Police
07c77b18-66b2-42dc-83be-82da10e9ceec	Abayomi Shogunle	Nigeria Police Force	Deputy Force Public Relations Officer	Deputy Force Public Relations Officer	Chief Superintendent of Police
09114e09-224f-4615-aeaa-0edb8efecbe9	Isaac Obiakor	2 Mechanised Division	Commander	General Officer Commanding	Major General
0a33bba3-ef02-46e0-897c-0195d43ab626	MY Ibrahim	7 Division	Commander	Acting General Officer Commanding	Brigadier General
0c959a83-fa3a-43ba-8eda-c5bb7885c371	Sunday Idoko	3 Armoured Division	Commander	General Officer Commanding	Major General
106bf4eb-3464-4d03-8d95-e3802a8369a1	Saleh Maina	3 Armoured Division	Commander	General Officer Commanding	Major General
1269b9a8-4391-4982-9f87-e8946788adfc	Adamu Baba Abubakar	82 Division	Commander	General Officer Commanding	Major General
131d3cca-4cf7-47ee-a873-1f0eff8d5ed1	Enobong Okon Udoh	6 Division	Commander	General Officer Commanding	Major General
152dda04-94ea-496c-a844-17c614fa219c	Ibrahim Attahiru	82 Division	Commander	General Officer Commanding	Major General
15917041-68d6-4577-893d-d100a94ac4e9	Kenneth Osuji	1 Mechanised Division	Commander	General Officer Commanding	Major General
17a7a0b4-17d8-47bf-9a00-c2c1c99c5685	Garba Ayodele Wahab	1 Mechanised Division	Commander	General Officer Commanding	Major General
1abd3280-e475-4047-89ab-6f3ed1066106	Isiaku Dikko	3 Armoured Division	Commander	General Officer Commanding	Major General
1baf156c-948b-4c99-aad3-b079246039b8	Ebiobowei Bonna Awala	3 Armoured Division	Commander	General Officer Commanding	Major General
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Edith Ozobia	Tarkwa Bay Police Division	Commander	Divisional Police Officer	Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Olalekan Coker	Shomolu Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Nwachukwu Eburaja	Shasha Police Division	Commander	Divisional Police Officer	Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Aniefiok W. Akpan	Pen Cinema Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Mohammed R. Karmal	Oworonsoki Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Afolabi Ojo	Osolu Kingdom Police Division	Commander	Divisional Police Officer	Assistant Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Sylvester O. Edet	Onipanu Police Division (Area 'H' Police Area Command)	Commander	Divisional Police Officer	Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Williams Akintade	Oko-Oba Police Division	Commander	Divisional Police Officer	Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Achinyan Z. Fera	Oke-Odo Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Ubanga Mary	Ojokoro Police Division	Commander	Divisional Police Officer	Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Adepoju Olugbenga	Ogudu Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Eze Godwin	Ogombo Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Makinde Kayode	Morogbo Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Chioma Ajuwa Opara	Meiran Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Johnson Adenola	Maroko Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Rotimi Odutona	Langbasa Police Division	Commander	Divisional Police Officer	Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Sanni Nufawa	Ketu Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Oliver Amaechi	Isokoko Police Divsion	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Angela Akaro	Isheri Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Kenneth Egbo	Isheri Oshun Police Division	Commander	Divisional Police Officer	Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Okpaleke Obisie	Ishasi Police Division	Commander	Divisional Police Officer	Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Jubrila Onilegbale	Irede/Ikanre Police Division	Commander	Divisional Police Officer	Deputy Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Ajewole Adebayo	Ipaja Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Ekpeghere Ibe	Ilemba Hausa Police Division	Commander	Divisional Police Officer	Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Olorunfemi Gbenga	Ilasan Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Alaba Haruna Yahaya	Ikotun Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
